id,election_id,person_id,party_id,votes,vote_share,elected,created_at,updated_at
1,1,1,1,5837,11.42,0,2025-12-13 09:57:59,2025-12-13 09:57:59
2,1,2,2,20946,40.98,1,2025-12-13 09:57:59,2025-12-13 09:57:59
3,1,3,3,18557,36.31,0,2025-12-13 09:57:59,2025-12-13 09:57:59
4,1,4,4,5773,11.29,0,2025-12-13 09:57:59,2025-12-13 09:57:59
5,2,5,1,877,37.11,0,2025-12-13 09:57:59,2025-12-13 09:57:59
6,2,6,5,489,20.69,0,2025-12-13 09:57:59,2025-12-13 09:57:59
7,2,7,4,997,42.19,1,2025-12-13 09:57:59,2025-12-13 09:57:59
8,3,8,6,15,0.72,0,2025-12-13 09:57:59,2025-12-13 09:57:59
9,3,9,7,235,11.35,0,2025-12-13 09:57:59,2025-12-13 09:57:59
10,3,10,8,691,33.37,0,2025-12-13 09:57:59,2025-12-13 09:57:59
11,3,11,4,746,36.02,1,2025-12-13 09:57:59,2025-12-13 09:57:59
12,3,12,4,384,18.54,0,2025-12-13 09:57:59,2025-12-13 09:57:59
13,4,13,9,869,30.01,0,2025-12-13 09:57:59,2025-12-13 09:57:59
14,4,14,10,1934,66.78,1,2025-12-13 09:57:59,2025-12-13 09:57:59
15,4,15,4,93,3.21,0,2025-12-13 09:57:59,2025-12-13 09:57:59
16,5,16,11,19988,17.43,0,2025-12-13 09:57:59,2025-12-13 09:57:59
17,5,17,9,45113,39.34,1,2025-12-13 09:57:59,2025-12-13 09:57:59
18,5,18,8,11008,9.6,0,2025-12-13 09:57:59,2025-12-13 09:57:59
19,5,19,5,38554,33.62,0,2025-12-13 09:57:59,2025-12-13 09:57:59
20,6,20,12,2431,47.05,0,2025-12-13 09:57:59,2025-12-13 09:57:59
21,6,21,13,2736,52.95,1,2025-12-13 09:57:59,2025-12-13 09:57:59
22,7,22,14,231,2.54,0,2025-12-13 09:57:59,2025-12-13 09:57:59
23,7,23,2,5619,61.78,1,2025-12-13 09:57:59,2025-12-13 09:57:59
24,7,24,3,1624,17.86,0,2025-12-13 09:57:59,2025-12-13 09:57:59
25,7,25,4,1410,15.5,0,2025-12-13 09:57:59,2025-12-13 09:57:59
26,7,26,4,211,2.32,0,2025-12-13 09:57:59,2025-12-13 09:57:59
